id;alias;name;description;comment;documentation_url;start_date;end_date;application_type;software_type;nickname
1;pace briskly annual;ease;very;similar hm difficult;dimly hmph;2021-11-04;2021-11-04;HARDWARE;CLOUD_THIRD_PARTY;about phew threaten
2;judo well-lit;saunter burdensome an;why consequently;forenenst;near whoever;2021-11-04;2021-11-04;MIDDLEWARE;CLOUD_CUSTOM;deafening sternly hashtag
3;cheap dimly;ample beak lavish;whose huzzah;why badly monsoon;without upbeat though;2021-11-04;2021-11-04;MIDDLEWARE;ON_PREMISE_CUSTOM;till wary above
4;fax unemployment lest;entitle worth;vitrify;envy vignette;characterise terribly inquisitively;2021-11-03;2021-11-04;PARTNER;CLOUD_SAAS;regularly underwrite
5;beyond;nursing cremate cassava;instead usually transport;around supposing;envy mobster;2021-11-04;2021-11-04;OTHER;ON_PREMISE_COTS;next downright bar
6;upon bind;ah geez;yesterday;whoa cruelly;happily;2021-11-04;2021-11-04;MIDDLEWARE;ON_PREMISE_CUSTOM;yowza than trivialise
7;equal throughout modulo;recklessly woot;pretest yowza;fiercely;aboard transact eggnog;2021-11-04;2021-11-04;PARTNER;CLOUD_CUSTOM;uh-huh
8;pish drat;rash;reciprocate though;ack sophomore and;meh democrat once;2021-11-04;2021-11-04;HARDWARE;ON_PREMISE_CUSTOM;fizz nor
9;furthermore;svelte;beside praise including;to;miskey pole;2021-11-04;2021-11-04;PARTNER;ON_PREMISE_COTS;crusade uh-huh
10;frugal than provided;sign action;into;headrest;unlike;2021-11-04;2021-11-04;PARTNER;ON_PREMISE_CUSTOM;mechanically write
