id;name;description;comment;level
1;savor even;mall outperform wag;between covet;18726
2;regularly leave reproachfully;clavicle oof frail;except nor;13567
3;real doubtfully;plush;mmm;9095
4;infamous red gadzooks;dispatch founder;righteously uh-huh;8560
5;if between anchored;warrant fortunately or;yowza moan contact;4616
6;surface;till expedite;serialize;15704
7;ha landmine coke;categorise finally;cleverly whoa usefully;16244
8;round knowingly;whereas;cicada;24491
9;crow ah now;practical nonconformist artistic;for;17339
10;alongside past questioningly;bob overconfidently equivalent;energetically;3886
