id;alias;name;description;comment;documentation_url;start_date;end_date;application_type;software_type;display_in_landscape;application_id
1;unburden;highland boo;mortally psst;spiderling;superficial hurt;2021-11-04;2021-11-04;MIDDLEWARE;ON_PREMISE_CUSTOM;false;1
2;forenenst;pushy dance lurk;until whereas;unlike upon blah;brr slumber;2021-11-04;2021-11-04;PARTNER;CLOUD_THIRD_PARTY;true;2
3;tense;provided besides absentmindedly;fish step-grandmother below;antibody;whirlwind ack;2021-11-04;2021-11-04;OTHER;ON_PREMISE_COTS;false;3
4;disarm extroverted forenenst;violent;engrave mortified wisely;imaginary yum;consequently joyously;2021-11-03;2021-11-04;SOFTWARE;CLOUD_THIRD_PARTY;true;4
5;quality before ack;pail whoa;aboard indeed;though disable;meanwhile manure;2021-11-04;2021-11-04;SOFTWARE;ON_PREMISE_CUSTOM;true;5
6;because onset hmph;brain through playfully;as;jingle oh times;owlishly shady mishit;2021-11-03;2021-11-03;MIDDLEWARE;ON_PREMISE_COTS;true;6
7;sack huzzah solidly;loudly opposite;jive against drat;qua fine for;cowbell round;2021-11-04;2021-11-04;SOFTWARE;ON_PREMISE_CUSTOM;false;7
8;rank;unlike;oof punctually undervalue;seldom dark;memorable longingly towards;2021-11-03;2021-11-03;HARDWARE;CLOUD_THIRD_PARTY;true;8
9;slumber warm;ah admonish;duh rugby even;jaywalk deceivingly fatally;zany;2021-11-04;2021-11-03;HARDWARE;ON_PREMISE_COTS;false;9
10;despite watercress furthermore;meanwhile kindly ew;before;fooey clam jealous;however;2021-11-04;2021-11-04;SOFTWARE;ON_PREMISE_CUSTOM;true;10
