id;resource_name;resource_type;description;frequency;contract_url;documentation_url;start_date;end_date
1;lightly madly oh;medical;crossly;DAILY;fitness puppy pro;once glorious;2021-11-04;2021-11-04
2;minus er;geez;failing liquidate frizzle;ON_DEMAND;gadzooks;orange ouch;2021-11-04;2021-11-04
3;beatboxer quirkily;regarding glorious;even remarkable;MONTHLY;bankruptcy;so chassis;2021-11-03;2021-11-04
4;rescue ack ouch;reef disgrace yuck;finally;YEARLY;supposing overawe;besides wise costume;2021-11-04;2021-11-04
5;huzzah teem;hm instantly;till at before;WEEKLY;disincentivise conflate;hasty phew;2021-11-04;2021-11-03
6;consequence towards;yahoo put;amongst;INTRADAY;generally broken divorce;lone warmly;2021-11-04;2021-11-04
7;foolishly hazelnut abaft;lucky;whereas;WEEKLY;where;ambitious beautifully affectionate;2021-11-04;2021-11-04
8;till consecrate;underneath vice brr;portion needily;ON_DEMAND;eek including reef;bah judgementally rotating;2021-11-04;2021-11-04
9;fiercely during;throughout pleasing unto;ack;DAILY;neat flashy;instead once;2021-11-04;2021-11-04
10;depart element;solemnly;jaggedly;YEARLY;aha where;dimly amidst crunch;2021-11-04;2021-11-04
