id;alias;description;comment;status;documentation_url;documentation_url_2;start_date;end_date
1;yin;primary;oregano duh stiff;down;zowie up;hm rewarding physics;2021-11-04;2021-11-04
2;intermarry rations;against behind;gah boohoo uh-huh;except a;wrong justification majestically;replay;2021-11-04;2021-11-04
3;yahoo;gah lest about;cautiously;who;prestigious geez proximity;once whenever bowed;2021-11-04;2021-11-04
4;allergist out;with chemical brr;fuzzy aquaplane gah;bah;inside;cruise even;2021-11-04;2021-11-04
5;er lest;airfreight during subsidise;squish oof style;miscast;velvety provided harbor;since;2021-11-04;2021-11-04
6;between;rhetoric phooey;whether needy well;duh uh-huh;knowingly hefty quirk;oh whoa pastel;2021-11-04;2021-11-04
7;astride;woot while;spattering beyond;highly mmm because;floor before;after;2021-11-04;2021-11-04
8;given indeed;prevail rectangular from;like seldom;highball highly;sans;creation tomorrow;2021-11-04;2021-11-04
9;peppery overburden who;hoist;dog;shipyard generator yahoo;amongst;but;2021-11-04;2021-11-03
10;agreeable meanwhile smart;during;zone optimization;chateau;drafty;delirious stealthily;2021-11-04;2021-11-04
