id;viewpoint;diagram_name;compressed_draw_xml;compressed_draw_svg
1;APPLICATION_LANDSCAPE;where whoa dishonor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;APPLICATION_LANDSCAPE;ouch considering zowie;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;APPLICATION_LANDSCAPE;boo how although;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;APPLICATION_LANDSCAPE;before kindheartedly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;APPLICATION_LANDSCAPE;abaft;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;APPLICATION_LANDSCAPE;savor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;APPLICATION_LANDSCAPE;arrogantly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;APPLICATION_LANDSCAPE;once salute;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;APPLICATION_LANDSCAPE;sedately pretty;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;APPLICATION_LANDSCAPE;before;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
