id;name;type;description;scope
1;announce bite-sized;ETL;scarcely inquisitively;bah
2;understated highly;EVENT;bah if watcher;residue aw potentially
3;frown;EVENT;warped because zoologist;but
4;failing;SOAP;foolishly;extremely
5;abaft artistic given;OTHER;woefully pure shrilly;er unlace
6;caterwaul zowie;ETL;likely awkwardly;clearly that supposing
7;easily backlight fortunately;DB;gently if perpetuate;quickly vivaciously worrisome
8;throughout flickering;EVENT;methane;fatally
9;rarely;FRONT;why;blah regularly
10;wrathful after;SOAP;meadow illustrate downplay;yippee
